38
幫,p,p,p,p,p,p,p
滂,ph,ph,pʰ,p‘,p‘,p‘,pʰ
並,b,b,bʱ,b,b,b,b
明,m,m,m,m,m,m,m
端,t,t,t,t,t,t,t
透,th,th,tʰ,t‘,t‘,t‘,tʰ
定,d,d,dʱ,d,d,d,d
泥,n,n,n,n,n,n,n
來,l,l,l,l,l,l,l
知,ʈ,ʈ,ȶ, ȶ, ȶ, ȶ,ʈ
徹,ʈh,ʈh,ȶʰ, ȶ‘, ȶ‘, ȶ‘,ʈʰ
澄,ɖ,ɖ,ȡʱ,ȡ,ȡ,ȡ,ɖ
娘,ɳ,ɳ,n,n,n,n,ɳ
精,ts,ʦ,ts,ts,ts,ts,ts
清,tsh,ʦh,tsʰ,ts‘,ts‘,ts‘,tsʰ
從,dz,ʣ,dzʱ,dz,dz,dz,dz
心,s,s,s,s,s,s,s
邪,z,z,z,z,z,z,z
莊,tʃ,tʂ,tʂ,tʃ,tʃ,tʃ,tʂ
初,tʃh,tʂh,tʂʰ,tʃ‘,tʃ‘,tʃ‘,tʂʰ
崇,dʒ,dʐ,dʐʱ,dʒ,dʒ,dʒ,dʐ
生,ʃ,ʃ,ʂ,ʃ,ʃ,ʃ,ʂ
俟,ʒ,ʐ,dʐʰ,ʒ,ʒ,ʒ,ʐ
章,tɕ,tɕ,tɕ,tɕ,tɕ,tɕ,c
昌,tɕh,tɕh,tɕʰ,tɕ‘,tɕ‘,tɕ‘,cʰ
常,dʑ,dʑ,ʑ,ʑ,ʑ,dʑ,dʑ
書,ɕ,ɕ,ɕ,ɕ,ɕ,ɕ,ɕ
船,ʑ,ʑ,dʑʰ,dʑ,dʑ,ʑ,ʑ
日,ȵ,ȵ,ȵʑ,ȵʑ,ȵ,ȵʑ,ȵ
見,k,k,k,k,k,k,k
溪,kh,kh,kʰ,k‘,k‘,k‘,kʰ
群,ɡ,ɡ,g,ɡ,ɡ,ɡ,g
疑,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ
影,ʔ,ʔ,ʔ,,ʔ,ʔ,ʔ
曉,h,h,x,x,x,x,h
匣,ɦ,ɦ,ɣ,ɣ,ɣ,ɣ,ɦ
云,ɦ,ɦ,,ɣ,ɣ,ɣ,ɦ
以,j,j,,j,,,j
