3883
德紅,東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤,17,4,0,1
徒紅,同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿茼砼,45,6,0,1
陟弓,中衷忠𦬕舯,4,9,1,1
直弓,蟲沖种盅爞𦬕翀,7,11,1,1
職戎,終衆潨𣧩螽𧑄鼨蔠柊𩅧䶱鴤䈺泈䝦眾,15,23,1,1
敕中,忡浺盅,3,10,1,1
鋤弓,崇崈㓽𩞉,4,20,1,1
息弓,嵩崧𪀚娀菘硹㣝𧊕𨱿,9,16,1,1
如融,戎𢦦茙㭜駥𥬪𠈋狨絨,9,28,1,1
居戎,弓躳躬㴦宮匑,6,29,1,1
以戎,融肜瀜,3,37,1,1
羽弓,雄熊,2,36,1,1
莫中,瞢夢𨞯懜𦫰𧲎,6,3,1,1
去宮,穹𢞏焪芎𦵡匑𥳎,7,30,1,1
渠弓,窮藭𥨪,3,31,1,1
房戎,馮堸汎芃𨝭渢梵,7,2,1,1
方戎,風飌楓猦偑檒𧆉瘋碸,7,0,1,1
敷空,豐酆蘴灃寷麷㒥㠦,8,1,1,1
昌終,充珫茺㤝䘪𪎽㳘,7,24,1,1
力中,隆癃𪔳窿霳㚅,6,8,1,1
苦紅,空箜崆椌硿䅝悾埪倥涳鵼𦱇𢃐𧌆,14,30,0,1
古紅,公功工疘蚣玒釭魟攻㓚愩碽篢,13,29,0,1
莫紅,蒙冡濛𩦺艨䑃矇饛䰒檬𨢊䴿𨣘鸏幪罞𢄐髳蠓𦿏雺霿霚朦䀄懜霥礞,27,3,0,1
盧紅,籠豅㰍朧𡃡龓䪊瀧聾𨏠礱䆍𪚗嚨蘢櫳𤮨巃襱𧙥瓏曨鸗𩟭蠪㟅屸矓,27,8,0,1
戸公,洪鉷訌紅虹仜鴻葒葓谼䉺烘洚渱𨹁魟䧆䪦𦏺䫹䂫𨾊,22,35,0,1
徂紅,叢藂䕺潨𥵫,5,15,0,1
烏紅,翁螉䱵蓊䈵䩺㮬𩔚,8,33,0,1
倉紅,怱忩葱楤𨍉聦繱𤧚騘䗓囪𨣭鍯㷓𢉛匆蔥樬䡯聰𦇎璁驄蟌𨣼鏓熜𢊕,15,14,0,1
他紅,通蓪侗恫痌曈俑𧳆𨀜嗵,9,5,0,1
子紅,葼鬷嵕猣豵鯼椶騣𩮀䗥嵸艐蝬堫𥓻翪緵㚇㣭稯鬉鬃棕,21,13,0,1
薄紅,蓬𥭗篷髼蜂芃𧚋韸䮾𩖛,10,2,0,1
呼東,烘叿魟谾𩐠𩗄,6,34,0,1
五東,㟅,1,32,0,1
蘇公,檧憽㬝忪,3,16,0,1
都宗,冬𠔙苳䳉笗𩂓𧲴咚氡,7,4,4,1
徒冬,彤疼佟炵䳋鼕𢥞𢾮爞㤏痋䂈鉵𧹝𩦶浵䶱𠩁鉖𨜳㠽赨,22,6,4,1
藏宗,賨琮悰潨淙慒鬃㼻孮誴𢃏,11,15,4,1
奴冬,農䢉辳𨑋𩟊噥𩅽憹㺜儂𧗕膿,12,7,4,1
古冬,攻釭,2,29,4,1
戸冬,䃔洚㗢𩘎,4,35,4,1
力冬,䃧䥢𣫣,3,8,4,1
作冬,宗倧腙,2,13,4,1
私宗,鬆䯳,2,16,4,1
他冬,炵,1,5,4,1
職容,鍾鐘蚣忪䇗蹱彸衳伀橦籦妐㕬𧢸炂𦬘𨳗鈆,18,23,6,1
力鍾,龍𪚝躘鸗驡𪚠籠𦪽蘢,9,8,6,1
書容,舂𧐍摏蹖𪄻憃,6,26,6,1
祥容,松㮤淞訟,4,17,6,1
尺容,𧘂衝罿憧䡴艟潼褈𠟍𠝤䂌,11,24,6,1
餘封,容溶滽庸𦤘𧴄㺎𤛑墉鎔鏞銿鄘傭𪅟㼸𤮇鱅蓉䗤傛褣搈瑢䈶嵱頌㝐䡆㟾𨲟𪃾槦㣑𢧳佣熔榕,35,37,6,1
府容,封𡉚犎葑崶篈㜂,5,0,6,1
許容,胷凶𣧑銎洶恟𧧗兇訩匈胸,10,34,6,1
魚容,顒𩤛鰅喁,4,32,6,1
於容,邕雍噰嗈郺澭灉癰罋廱饔壅雝𪄉㻾𧴗蕹,16,33,6,1
女容,醲𨑊濃襛穠檂𪒬𨲳㺜,8,12,6,1
