ㄚ a ar aa ah
ㄞ ai air ae ay
ㄢ an arn aan ann
ㄤ ang arng aang anq
ㄠ au aur ao aw
ㄅㄚ ba bar baa bah
ㄅㄞ bai bair bae bay
ㄅㄢ ban barn baan bann
ㄅㄤ bang barng baang banq
ㄅㄠ bau baur bao baw
ㄅㄟ bei beir beei bey
ㄅㄣ ben bern been benn
ㄅㄥ beng berng beeng benq
ㄅㄧ bi byi bii bih
ㄅㄧㄢ bian byan bean biann
ㄅㄧㄠ biau byau beau biaw
ㄅㄧㄝ bie bye biee bieh
ㄅㄧㄣ bin byn biin binn
ㄅㄧㄥ bing byng biing binq
ㄅㄛ bo bor boo boh
ㄅㄨ bu bwu buu buh
ㄔㄚ cha char chaa chah
ㄔㄞ chai chair chae chay
ㄔㄢ chan charn chaan chann
ㄔㄤ chang charng chaang chanq
ㄔㄠ chau chaur chao chaw
ㄔㄜ che cher chee cheh
ㄔㄣ chen chern cheen chenn
ㄔㄥ cheng cherng cheeng chenq
ㄑㄧ chi chyi chii chih
ㄑㄧㄚ chia chya chea chiah
ㄑㄧㄢ chian chyan chean chiann
ㄑㄧㄤ chiang chyang cheang chianq
ㄑㄧㄠ chiau chyau cheau chiaw
ㄑㄧㄝ chie chye chiee chieh
ㄑㄧㄣ chin chyn chiin chinn
ㄑㄧㄥ ching chyng chiing chinq
ㄑㄩㄥ chiong chyong cheong chionq
ㄑㄧㄡ chiou chyou cheou chiow
ㄑㄩ chiu chyu cheu chiuh
ㄑㄩㄢ chiuan chyuan cheuan chiuann
ㄑㄩㄝ chiue chyue cheue chiueh
ㄑㄩㄣ chiun chyun cheun chiunn
ㄔㄨㄥ chong chorng choong chonq
ㄔㄡ chou chour choou chow
ㄔㄨ chu chwu chuu chuh
ㄔㄨㄚ chua chwa choa chuah
ㄔㄨㄞ chuai chwai choai chuay
ㄔㄨㄢ chuan chwan choan chuann
ㄔㄨㄤ chuang chwang choang chuanq
ㄔㄨㄟ chuei chwei choei chuey
ㄔㄨㄣ chuen chwen choen chuenn
ㄔㄨㄛ chuo chwo chuoo chuoh
ㄔ chy chyr chyy chyh
ㄉㄚ da dar daa dah
ㄉㄞ dai dair dae day
ㄉㄢ dan darn daan dann
ㄉㄤ dang darng daang danq
ㄉㄠ dau daur dao daw
ㄉㄜ de der dee deh
ㄉㄟ dei deir deei dey
ㄉㄣ den dern deen denn
ㄉㄥ deng derng deeng denq
ㄉㄧ di dyi dii dih
ㄉㄧㄢ dian dyan dean diann
ㄉㄧㄤ diang dyang deang dianq
ㄉㄧㄠ diau dyau deau diaw
ㄉㄧㄝ die dye diee dieh
ㄉㄧㄥ ding dyng diing dinq
ㄉㄧㄡ diou dyou deou diow
ㄉㄨㄥ dong dorng doong donq
ㄉㄡ dou dour doou dow
ㄉㄨ du dwu duu duh
ㄉㄨㄢ duan dwan doan duann
ㄉㄨㄟ duei dwei doei duey
ㄉㄨㄣ duen dwen doen duenn
ㄉㄨㄛ duo dwo duoo duoh
ㄜ e er ee eh
ㄟ ei eir eei ey
ㄦ el erl eel ell
ㄣ en ern een enn
ㄈㄚ fa far faa fah
ㄈㄢ fan farn faan fann
ㄈㄤ fang farng faang fanq
ㄈㄟ fei feir feei fey
ㄈㄣ fen fern feen fenn
ㄈㄥ feng ferng feeng fenq
ㄈㄛ fo for foo foh
ㄈㄡ fou four foou fow
ㄈㄨ fu fwu fuu fuh
ㄍㄚ ga gar gaa gah
ㄍㄞ gai gair gae gay
ㄍㄢ gan garn gaan gann
ㄍㄤ gang garng gaang ganq
ㄍㄠ gau gaur gao gaw
ㄍㄜ ge ger gee geh
ㄍㄟ gei geir geei gey
ㄍㄣ gen gern geen genn
ㄍㄥ geng gerng geeng genq
ㄍㄨㄥ gong gorng goong gonq
ㄍㄡ gou gour goou gow
ㄍㄨ gu gwu guu guh
ㄍㄨㄚ gua gwa goa guah
ㄍㄨㄞ guai gwai goai guay
ㄍㄨㄢ guan gwan goan guann
ㄍㄨㄤ guang gwang goang guanq
ㄍㄨㄟ guei gwei goei guey
ㄍㄨㄣ guen gwen goen guenn
ㄍㄨㄛ guo gwo guoo guoh
ㄏㄚ ha har haa hah
ㄏㄞ hai hair hae hay
ㄏㄢ han harn haan hann
ㄏㄤ hang harng haang hanq
ㄏㄠ hau haur hao haw
ㄏㄜ he her hee heh
ㄏㄟ hei heir heei hey
ㄏㄣ hen hern heen henn
ㄏㄥ heng herng heeng henq
ㄏㄨㄥ hong horng hoong honq
ㄏㄡ hou hour hoou how
ㄏㄨ hu hwu huu huh
ㄏㄨㄚ hua hwa hoa huah
ㄏㄨㄞ huai hwai hoai huay
ㄏㄨㄢ huan hwan hoan huann
ㄏㄨㄤ huang hwang hoang huanq
ㄏㄨㄟ huei hwei hoei huey
ㄏㄨㄣ huen hwen hoen huenn
ㄏㄨㄛ huo hwo huoo huoh
ㄧ i yi yii yih
ㄧㄚ ia ya yea yah
ㄧㄢ ian yan yean yann
ㄧㄤ iang yang yeang yanq
ㄧㄠ iau yau yeau yaw
ㄧㄝ ie ye yee yeh
ㄧㄣ in yn yiin yinn
ㄧㄥ ing yng yiing yinq
ㄩㄥ iong yong yeong yonq
ㄧㄡ iou you yeou yow
ㄩ iu yu yeu yuh
ㄩㄢ iuan yuan yeuan yuann
ㄩㄝ iue yue yeue yueh
ㄩㄣ iun yun yeun yunn
ㄓㄚ ja jar jaa jah
ㄓㄞ jai jair jae jay
ㄓㄢ jan jarn jaan jann
ㄓㄤ jang jarng jaang janq
ㄓㄠ jau jaur jao jaw
ㄓㄜ je jer jee jeh
ㄓㄟ jei jeir jeei jey
ㄓㄣ jen jern jeen jenn
ㄓㄥ jeng jerng jeeng jenq
ㄐㄧ ji jyi jii jih
ㄐㄧㄚ jia jya jea jiah
ㄐㄧㄢ jian jyan jean jiann
ㄐㄧㄤ jiang jyang jeang jianq
ㄐㄧㄠ jiau jyau jeau jiaw
ㄐㄧㄝ jie jye jiee jieh
ㄐㄧㄣ jin jyn jiin jinn
ㄐㄧㄥ jing jyng jiing jinq
ㄐㄩㄥ jiong jyong jeong jionq
ㄐㄧㄡ jiou jyou jeou jiow
ㄐㄩ jiu jyu jeu jiuh
ㄐㄩㄢ jiuan jyuan jeuan jiuann
ㄐㄩㄝ jiue jyue jeue jiueh
ㄐㄩㄣ jiun jyun jeun jiunn
ㄓㄨㄥ jong jorng joong jonq
ㄓㄡ jou jour joou jow
ㄓㄨ ju jwu juu juh
ㄓㄨㄚ jua jwa joa juah
ㄓㄨㄞ juai jwai joai juay
ㄓㄨㄢ juan jwan joan juann
ㄓㄨㄤ juang jwang joang juanq
ㄓㄨㄟ juei jwei joei juey
ㄓㄨㄣ juen jwen joen juenn
ㄓㄨㄛ juo jwo juoo juoh
ㄓ jy jyr jyy jyh
ㄎㄚ ka kar kaa kah
ㄎㄞ kai kair kae kay
ㄎㄢ kan karn kaan kann
ㄎㄤ kang karng kaang kanq
ㄎㄠ kau kaur kao kaw
ㄎㄜ ke ker kee keh
ㄎㄣ ken kern keen kenn
ㄎㄥ keng kerng keeng kenq
ㄎㄨㄥ kong korng koong konq
ㄎㄡ kou kour koou kow
ㄎㄨ ku kwu kuu kuh
ㄎㄨㄚ kua kwa koa kuah
ㄎㄨㄞ kuai kwai koai kuay
ㄎㄨㄢ kuan kwan koan kuann
ㄎㄨㄤ kuang kwang koang kuanq
ㄎㄨㄟ kuei kwei koei kuey
ㄎㄨㄣ kuen kwen koen kuenn
ㄎㄨㄛ kuo kwo kuoo kuoh
ㄌㄚ lha la laa lah
ㄌㄞ lhai lai lae lay
ㄌㄢ lhan lan laan lann
ㄌㄤ lhang lang laang lanq
ㄌㄠ lhau lau lao law
ㄌㄜ lhe le lee leh
ㄌㄟ lhei lei leei ley
ㄌㄥ lheng leng leeng lenq
ㄌㄧ lhi li lii lih
ㄌㄧㄚ lhia lia lea liah
ㄌㄧㄢ lhian lian lean liann
ㄌㄧㄤ lhiang liang leang lianq
ㄌㄧㄠ lhiau liau leau liaw
ㄌㄧㄝ lhie lie liee lieh
ㄌㄧㄣ lhin lin liin linn
ㄌㄧㄥ lhing ling liing linq
ㄌㄧㄡ lhiou liou leou liow
ㄌㄩ lhiu liu leu liuh
ㄌㄩㄝ lhiue liue leue liueh
ㄌㄩㄣ lhiun liun leun liunn
ㄌㄨㄥ lhong long loong lonq
ㄌㄡ lhou lou loou low
ㄌㄨ lhu lu luu luh
ㄌㄨㄢ lhuan luan loan luann
ㄌㄨㄣ lhuen luen loen luenn
ㄌㄨㄛ lhuo luo luoo luoh
ㄌㄛ lho lo loo loh
ㄇㄜ mhe me mee meh
ㄇㄚ mha ma maa mah
ㄇㄞ mhai mai mae may
ㄇㄢ mhan man maan mann
ㄇㄤ mhang mang maang manq
ㄇㄠ mhau mau mao maw
ㄇㄟ mhei mei meei mey
ㄇㄣ mhen men meen menn
ㄇㄥ mheng meng meeng menq
ㄇㄧ mhi mi mii mih
ㄇㄧㄢ mhian mian mean miann
ㄇㄧㄠ mhiau miau meau miaw
ㄇㄧㄝ mhie mie miee mieh
ㄇㄧㄣ mhin min miin minn
ㄇㄧㄥ mhing ming miing minq
ㄇㄧㄡ mhiou miou meou miow
ㄇㄛ mho mo moo moh
ㄇㄡ mhou mou moou mow
ㄇㄨ mhu mu muu muh
ㄋㄚ nha na naa nah
ㄋㄞ nhai nai nae nay
ㄋㄢ nhan nan naan nann
ㄋㄤ nhang nang naang nanq
ㄋㄠ nhau nau nao naw
ㄋㄜ nhe ne nee neh
ㄋㄟ nhei nei neei ney
ㄋㄣ nhen nen neen nenn
ㄋㄥ nheng neng neeng nenq
ㄋㄧ nhi ni nii nih
ㄋㄧㄢ nhian nian nean niann
ㄋㄧㄤ nhiang niang neang nianq
ㄋㄧㄠ nhiau niau neau niaw
ㄋㄧㄝ nhie nie niee nieh
ㄋㄧㄣ nhin nin niin ninn
ㄋㄧㄥ nhing ning niing ninq
ㄋㄧㄡ nhiou niou neou niow
ㄋㄩ nhiu niu neu niuh
ㄋㄩㄝ nhiue niue neue niueh
ㄋㄨㄥ nhong nong noong nonq
ㄋㄡ nhou nou noou now
ㄋㄨ nhu nu nuu nuh
ㄋㄨㄢ nhuan nuan noan nuann
ㄋㄨㄣ nhuen nuen noen nuenn
ㄋㄨㄛ nhuo nuo nuoo nuoh
ㄋㄧㄚ nhia nia nea niah
ㄡ ou our oou ow
ㄆㄚ pa par paa pah
ㄆㄞ pai pair pae pay
ㄆㄢ pan parn paan pann
ㄆㄤ pang parng paang panq
ㄆㄠ pau paur pao paw
ㄆㄟ pei peir peei pey
ㄆㄣ pen pern peen penn
ㄆㄥ peng perng peeng penq
ㄆㄧ pi pyi pii pih
ㄆㄧㄢ pian pyan pean piann
ㄆㄧㄠ piau pyau peau piaw
ㄆㄧㄝ pie pye piee pieh
ㄆㄧㄣ pin pyn piin pinn
ㄆㄧㄥ ping pyng piing pinq
ㄆㄛ po por poo poh
ㄆㄡ pou pour poou pow
ㄆㄨ pu pwu puu puh
ㄖㄢ rhan ran raan rann
ㄖㄤ rhang rang raang ranq
ㄖㄠ rhau rau rao raw
ㄖㄜ rhe re ree reh
ㄖㄣ rhen ren reen renn
ㄖㄥ rheng reng reeng renq
ㄖㄨㄥ rhong rong roong ronq
ㄖㄡ rhou rou roou row
ㄖㄨ rhu ru ruu ruh
ㄖㄨㄢ rhuan ruan roan ruann
ㄖㄨㄟ rhuei ruei roei ruey
ㄖㄨㄣ rhuen ruen roen ruenn
ㄖㄨㄛ rhuo ruo ruoo ruoh
ㄖ rhy ry ryy ryh
ㄙㄚ sa sar saa sah
ㄙㄞ sai sair sae say
ㄙㄢ san sarn saan sann
ㄙㄤ sang sarng saang sanq
ㄙㄠ sau saur sao saw
ㄙㄜ se ser see seh
ㄙㄟ sei seir seei sey
ㄙㄣ sen sern seen senn
ㄙㄥ seng serng seeng senq
ㄕㄚ sha shar shaa shah
ㄕㄞ shai shair shae shay
ㄕㄢ shan sharn shaan shann
ㄕㄤ shang sharng shaang shanq
ㄕㄠ shau shaur shao shaw
ㄕㄜ she sher shee sheh
ㄕㄟ shei sheir sheei shey
ㄕㄣ shen shern sheen shenn
ㄕㄥ sheng sherng sheeng shenq
ㄒㄧ shi shyi shii shih
ㄒㄧㄚ shia shya shea shiah
ㄒㄧㄢ shian shyan shean shiann
ㄒㄧㄤ shiang shyang sheang shianq
ㄒㄧㄠ shiau shyau sheau shiaw
ㄒㄧㄝ shie shye shiee shieh
ㄒㄧㄣ shin shyn shiin shinn
ㄒㄧㄥ shing shyng shiing shinq
ㄒㄩㄥ shiong shyong sheong shionq
ㄒㄧㄡ shiou shyou sheou shiow
ㄒㄩ shiu shyu sheu shiuh
ㄒㄩㄢ shiuan shyuan sheuan shiuann
ㄒㄩㄝ shiue shyue sheue shiueh
ㄒㄩㄣ shiun shyun sheun shiunn
ㄕㄨㄥ shong shorng shoong shonq
ㄕㄡ shou shour shoou show
ㄕㄨ shu shwu shuu shuh
ㄕㄨㄚ shua shwa shoa shuah
ㄕㄨㄞ shuai shwai shoai shuay
ㄕㄨㄢ shuan shwan shoan shuann
ㄕㄨㄤ shuang shwang shoang shuanq
ㄕㄨㄟ shuei shwei shoei shuey
ㄕㄨㄣ shuen shwen shoen shuenn
ㄕㄨㄛ shuo shwo shuoo shuoh
ㄕ shy shyr shyy shyh
ㄙㄨㄥ song sorng soong sonq
ㄙㄡ sou sour soou sow
ㄙㄨ su swu suu suh
ㄙㄨㄢ suan swan soan suann
ㄙㄨㄟ suei swei soei suey
ㄙㄨㄣ suen swen soen suenn
ㄙㄨㄛ suo swo suoo suoh
ㄙ sy syr syy syh
ㄊㄚ ta tar taa tah
ㄊㄞ tai tair tae tay
ㄊㄢ tan tarn taan tann
ㄊㄤ tang tarng taang tanq
ㄊㄠ tau taur tao taw
ㄊㄜ te ter tee teh
ㄊㄥ teng terng teeng tenq
ㄊㄧ ti tyi tii tih
ㄊㄧㄢ tian tyan tean tiann
ㄊㄧㄠ tiau tyau teau tiaw
ㄊㄧㄝ tie tye tiee tieh
ㄊㄧㄥ ting tyng tiing tinq
ㄊㄨㄥ tong torng toong tonq
ㄊㄡ tou tour toou tow
ㄘㄚ tsa tsar tsaa tsah
ㄘㄞ tsai tsair tsae tsay
ㄘㄢ tsan tsarn tsaan tsann
ㄘㄤ tsang tsarng tsaang tsanq
ㄘㄠ tsau tsaur tsao tsaw
